,Phrase,Review,Count
371,protagonist naoe yasuke,ButWhyTho,1
372,protagonist naoe yasuke,Checkpoint,1
373,protagonist naoe yasuke,Dexerto,1
374,protagonist naoe yasuke,Gamecritics,1
375,protagonist naoe yasuke,Movies Games and Tech,1
376,protagonist naoe yasuke,Push Square,1
377,protagonist naoe yasuke,RPGFan,1
378,protagonist naoe yasuke,TheEscapist,1
379,protagonist naoe yasuke,ZTGD,1
380,naoe yasuke build,ButWhyTho,1
381,naoe yasuke build,Kotaku,1
382,dozen upon dozen,ButWhyTho,1
383,dozen upon dozen,GamingBolt,1
384,standard assassin creed,ButWhyTho,1
385,standard assassin creed,XboxAchievements,1
386,make clear quest,ButWhyTho,1
387,make clear quest,TrueAchievments,1
388,previous assassin creed,ButWhyTho,2
389,previous assassin creed,DualShockers,1
390,previous assassin creed,gamepressure,1
391,previous assassin creed,PlayStation Universe,1
392,previous assassin creed,Ragequit,1
393,previous assassin creed,The Verge,1
394,previous assassin creed,Xbox Tavern,1
395,creed shadow especially,ButWhyTho,1
396,creed shadow especially,Siliconera,1
397,naoe yasuke individual,ButWhyTho,1
398,naoe yasuke individual,Order of the Template,1
399,naoe yasuke individual,TheEscapist,1
400,yasuke individual journey,ButWhyTho,1
401,yasuke individual journey,TheEscapist,1
402,creed shadow lot,ButWhyTho,1
403,creed shadow lot,HardcoreGamer,1
404,creed shadow lot,ZTGD,1
405,become fully playable,ButWhyTho,1
406,become fully playable,Loot Level Chill,1
407,side quest play,ButWhyTho,1
408,side quest play,Stevivor,1
409,high level enemy,ButWhyTho,1
410,high level enemy,Worthplaying,1
411,skill point assign,ButWhyTho,1
412,skill point assign,Hooked Gamers,1
413,point unlock new,ButWhyTho,1
414,point unlock new,Metro News,1
415,point unlock new,wccftech,1
416,tool like shuriken,ButWhyTho,1
417,tool like shuriken,GamingBible,1
418,skill point level,ButWhyTho,1
419,skill point level,NoisyPixel,1
420,creed shadow high,ButWhyTho,1
421,creed shadow high,GameRant,1
422,naoe yasuke gameplay,ButWhyTho,1
423,naoe yasuke gameplay,XboxAchievements,1
424,different assassin creed,ButWhyTho,1
